round,voice_loss,voice_auc,voice_acc,voice_balanced_acc,voice_f1,hw_loss,hw_auc,hw_acc,hw_balanced_acc,hw_f1
1,0.5858461798578277,0.7053571428571429,0.6153846153846154,0.5424107142857143,0.7368421052631579,0.606961531859421,0.7619047619047619,0.6923076923076923,0.6666666666666666,0.5
2,0.4971715285055547,0.78125,0.7692307692307693,0.6361607142857143,0.8571428571428571,0.5602350096979836,0.9285714285714286,0.7692307692307693,0.75,0.6666666666666666
3,0.4312208826663211,0.8303571428571429,0.7435897435897436,0.5647321428571428,0.84375,0.48619868403532696,1.0,0.9230769230769231,0.9166666666666667,0.9090909090909091
4,0.40225256772816687,0.8125,0.7692307692307693,0.6361607142857143,0.8571428571428571,0.39533823773317717,1.0,1.0,1.0,1.0
5,0.38311091038190714,0.8035714285714286,0.7435897435897436,0.5647321428571428,0.84375,0.32049997176743006,1.0,1.0,1.0,1.0
6,0.3734658422833326,0.8080357142857143,0.7692307692307693,0.6361607142857143,0.8571428571428571,0.261470258386911,1.0,1.0,1.0,1.0
7,0.3699832558380889,0.8169642857142857,0.7692307692307693,0.6361607142857143,0.8571428571428571,0.2432366940920405,1.0,0.9230769230769231,0.9166666666666667,0.9090909090909091
8,0.3694970533085641,0.8214285714285715,0.7692307692307693,0.6361607142857143,0.8571428571428571,0.2221338423975466,1.0,0.9230769230769231,0.9166666666666667,0.9090909090909091
9,0.3693371167364042,0.8214285714285715,0.7948717948717948,0.6517857142857143,0.875,0.18926222265686946,1.0,0.9230769230769231,0.9166666666666667,0.9090909090909091
10,0.37126942378361477,0.8214285714285715,0.7948717948717948,0.6517857142857143,0.875,0.1540988055670847,1.0,1.0,1.0,1.0
11,0.37701710046148795,0.8258928571428571,0.8205128205128205,0.6674107142857143,0.8923076923076924,0.11198821491449551,1.0,1.0,1.0,1.0
12,0.3835746178914771,0.8348214285714285,0.8205128205128205,0.6674107142857143,0.8923076923076924,0.12106765165490342,1.0,1.0,1.0,1.0
13,0.39531379121532556,0.8348214285714285,0.8205128205128205,0.6674107142857143,0.8923076923076924,0.10568868626979547,1.0,1.0,1.0,1.0
14,0.4043943270840084,0.8348214285714285,0.7948717948717948,0.6517857142857143,0.875,0.10420294915041178,1.0,1.0,1.0,1.0
15,0.4097552420003846,0.84375,0.7948717948717948,0.6517857142857143,0.875,0.10697910137439316,1.0,0.9230769230769231,0.9166666666666667,0.9090909090909091
